id,trigger,conditions,script,text,options,notes
"#RULESET_NAME Draconis",,,,,,
,,,,,,
# Fleet Admiral's Store,,,,,,"convDefaultGreeting"
XLII_admiral_init_greeting,OpenCDE,"$isPerson
$postId == factionLeader
$tag:XLII_fleet_admiral_emil","AddText ""Establishing connection..."" buttonText
FireBest admiralPickGreeting
ShowPersonVisual","You transmit the comms ID and wait for the system to establish a connection. However, the comms link establishes after a longer delay than typical military protocols demand. When the image resolves, it's deliberately degraded - encryption artifacts dance across a humanoid silhouette, facial features reduced to suggestions of shadow and light.","1:init:Continue",
XLII_admiral_init_not_commissioned,admiralPickGreeting,,,"""Captain."" The voice carries the flat authority of someone accustomed to being obeyed. ""Your reputation precedes you, but reputation alone doesn't grant clearance for what we discuss here.""

A pause. You sense him consulting something off-screen.

""If you're serious about serving the Draconis Defence Alliance, our diplomatic corps can arrange a commission. Standard channels. Until then..."" The distorted figure makes a gesture that might be dismissive, might be regretful. ""I'm afraid we have nothing further to discuss.""

The link cuts before you can respond.","1:dismiss:End the transmission.",
XLII_admiral_init_commissioned,admiralPickGreeting,"XLII_HasDraconisCommission","XLII_CalculateShipCost XLII_alruba_Assault_fortysecond alruba
XLII_CalculateShipCost XLII_alwaid_Assault_fortysecond alwaid
XLII_CalculateShipCost XLII_errakis_Assault_fortysecond errakis
XLII_CalculateShipCost XLII_juza_Assault_fortysecond juza
XLII_CalculateShipCost XLII_shaobi_Assault_fortysecond shaobi
XLII_CalculateShipCost XLII_grumium_wing grumium","""Commander $playerLastName."" The distorted visage tilts slightly, as if examining you through the compression grain. What might be satisfaction colors the modulated voice. ""We've been watching your work."" A beat. ""Impressed, I should say.""

He leans forward slightly, the motion causing the encryption to ripple and distort. ""The Draconis Defence Alliance rewards competence. More importantly, we recognize when someone possesses the tactical acumen we need for what's coming.""

Your command console chimes softly - an incoming data packet, heavily encrypted.","1:XLII_admiral_init_commissionedTrader:Continue",
XLII_admiral_init_commissionedTrader,DialogOptionSelected,"$option == XLII_admiral_init_commissionedTrader
$tag:XLII_fleet_admiral_emil",,"""I'm authorized to offer you something off the books,"" he continues. ""The XLII's specialized vessels. Bleeding edge. Ships that aren't in any public registry, that most admirals don't even know exist."" His fingers tap something you can't see. ""Ships that could turn the tide when it matters most.""

A calculated pause. The kind that precedes uncomfortable truths.

""There's a nominal fee - twice their usual cost and an adjustment to your standing with us. Administrative necessity. Insurance that you understand the value of what we're offering."" The ghost of a smile in his voice. ""But the tactical advantage? The capability these hulls represent?"" Another pause, heavier this time. ""That's worth considerably more than any credit transfer, Commander.""","1:buy_grumium:I'll purchase a Grumium Bomber Wing ($XLII_cost_credits_formatted_grumium credits, $XLII_cost_rep_grumium rep)
2:buy_alruba:I'll purchase a Alruba-class Gunship ($XLII_cost_credits_formatted_alruba credits, $XLII_cost_rep_alruba rep)
3:buy_shaobi:I'll purchase a Shaobi-class Carrier ($XLII_cost_credits_formatted_shaobi credits, $XLII_cost_rep_shaobi rep)
4:buy_errakis:I'll purchase a Errakis-class Missile Destroyer ($XLII_cost_credits_formatted_errakis credits, $XLII_cost_rep_errakis rep)
5:buy_juza:I'll purchase a Juza-class Heavy Cruiser ($XLII_cost_credits_formatted_juza credits, $XLII_cost_rep_juza rep)
6:buy_alwaid:I'll purchase a Alwaid-class Battlecarrier ($XLII_cost_credits_formatted_alwaid credits, $XLII_cost_rep_alwaid rep)
7:decline:Perhaps another time",
XLII_admiral_buy_grumium,DialogOptionSelected,"$option == buy_grumium","XLII_BuyShip XLII_grumium_wing","""The Grumium-class. Already a fossil when our engineers stripped her down and turned her into a bomber. Sluggish turns, avionics that throw fits if you look at them wrong. But those Backsword torpedoes? They don't need finesse - just a straight line to the target.""

""I remember a raid on Athebyne's supply depots, some cycles ago. We were running low on everything - fuel, munitions, pilots. Commander Reyes - solid flyer, came up through the reserves - took a squadron of Grumiums on what should've been a suicide run. Twelve birds, loaded heavy, against fortified emplacements and interceptor screens.""

""They lumbered in like cargo haulers, dodging flak by sheer spite. Reyes lost half his wing before they even lined up the shot. But the ones that made it through? Dropped their payload right into the heart of the depot. Chain reactions lit up the night side of the planet. We got the resupply we needed to hold the line another month.""

""Reyes brought three back, including his own. Got a commendation posthumously - caught a missile on the egress. The Grumium's no hero's ride. Slow, ugly work. But if it kills, it serves. And sometimes, that's all you need.""

A brief pause as the data finalizes.

""Use it well, Commander. The Alliance expects results.""","1:transaction_complete:Continue",
XLII_admiral_buy_alruba,DialogOptionSelected,"$option == buy_alruba","XLII_BuyShip XLII_alruba_Assault_fortysecond","""The Alruba. You know, most people look at her now and see a relic - too dated for modern combat, gathering dust in the reserves. But I remember when she was all we had.

Third week of the siege at Athebyne orbital. My flagship had taken a reactor hit, and I transferred my flag to the Resolute - an Alruba. Older model, held together with spite and welder's tape. We had six of them left in the picket line, facing down twice our number.

The captain - Lieutenant Walker, good officer - she kept us between the troop transports and their missile boats. Took hits that would've gutted a Thuban. The armour held. Barely. By the time relief arrived, we'd lost three Alrubas, but the transports made it through.

Walker didn't. Reactor breach on the final push.

The Alruba's not fast. Not elegant. But she's honest. She does what you build her to do, and she doesn't quit until she's a debris field. Sometimes that's enough.""

A brief pause as the data finalizes.

""Use it well, Commander. The Alliance invests in those who deliver results."" The emphasis on 'deliver' is subtle but unmistakable. ""We'll be watching.""","1:transaction_complete:Continue",
XLII_admiral_buy_shaobi,DialogOptionSelected,"$option == buy_shaobi","XLII_BuyShip XLII_shaobi_Assault_fortysecond","""The Shaobi. The Marines' favourite toy. Command didn't want to build her - too specialised, too expensive. But the Marines made their case, and somehow, it stuck.

I'll admit, I didn't see the value. Not at first.

Then came the boarding operation at Ring-Port - back when it was still under separatist control. We needed to take the station intact, and orbital bombardment wasn't an option. That meant Marines. Lots of them.

The Shaobi-class Warhound led the assault. Two hundred Marines, full combat load, deployed in under twenty minutes. They hit three docking points simultaneously - precision insertion, no warning.

The captain - Major Hartley, Marine Corps - she coordinated the whole thing from the Warhound's bridge. Ship-to-boarding-craft comms, real-time tactical updates, fire support from the gunship's turrets. It wasn't just a carrier - it was a forward command post with engines.

We took Ring-Port in six hours. Minimal casualties. Hartley got a medal. The Warhound got a reputation.

The Shaobi's not a fleet carrier. She's not meant to be. But if you need boots on a station or a hostile ship, she'll get them there - and bring them home.

Sometimes that's worth more than another fighter wing.""

A pause.

""The Alliance chose well with you, Commander. Transfer authorized.""","1:transaction_complete:Continue",
