id,type,text1,text2,text3,text4,text5,notes
XLII_draconis,FACTION,"The Draconis Defence Alliance is a military treaty between Athebyne and Itoron, forged in the smouldering aftermath of the Fafnir Civil War. Once a beautiful verdant world, Athebyne now spins barren—its ruin a testament to the war's savagery and the price of peace.

At the centre of the Alliance stands Fleet Admiral Emil August, former commander of Itoron’s infamous 42nd Defence Fleet—the hammer that broke Athebyne’s back. Hailed as a hero by some and a war criminal by others, August assumed control of the Alliance without election, consolidating military power to “preserve peace.” Itoron backs him. Those from Athebyne barely tolerate him.

Under August’s iron-fisted leadership, the Alliance has become a disciplined and lethal force, its ships and soldiers forged in war. Yet its unity is brittle. Political infighting, deep-seated mistrust, and systemic corruption threaten to shatter what little cohesion remains.

Whether the Alliance is a fragile peacekeeping body or a militarised junta depends on who you ask. But all agree on one point: as long as August remains at the helm, the Alliance endures. Barely.",,,,,
star_fafnir,CUSTOM,"A G2 type primary sequence star, estimated age is five billion years. Surface temperature is only about six thousand degrees, while core temperature could well exceed fifteen million degrees.",,,,,
planet_athebyne,CUSTOM,"The ruins of Athebyne. Devasted by the civil war that engulfed the system. Its people are desperately attempting to return it to its former glory, but for now, it's mostly an inhospitable husk, left to mining companies to pick at until the restoration effort makes headway.",,,,,
planet_itoron,CUSTOM,"The Jewel of Fafnir. A pristine world with a bustling industrial sector and massive farmland. It doesn't have the MIC of Kori, but it boasts a large military presence nonetheless, especially now as the system's last naturally habitable planet.",,,,,
planet_kori,CUSTOM,Kori is the frigid moon of Itoron. A shining symbol of hope for the Itoron people. Now it houses the largest military-industrial complex in the Fafnir system and the primary headquarters for the Draconis Navy.,,,,,
planet_vorium,CUSTOM,A typical gas giant; Vorium. Its massive gravity well helps protect the habitable planets of Fafnir.,,,,,
station_ringport,CUSTOM,"Ring-Port, a former asteroid mining station, has undergone a tumultuous history. Initially seized by anarchists and separatists, it has now fallen under the control of pirates and remnants of the disbanded first fleet who failed to reintegrate. Serves a notorious black market and a haven for marauders, Ring-Port maintains a modest fleet presence, just enough to deter destruction and safeguard its illicit operations.",,,,,
XLII_thuban,SHIP,"// You have to understand that military procurement isn't just ask and receive. We had no allies to buy from, and not enough ships sitting around to outfit ourselves with. The 42nd was bleeding hulls faster than we could patch them, and Command was screaming for picket coverage—something fast enough to screen the battle line and tough enough to jam incoming ordnance. We HAD to make some drastic decisions. This was one of them.

Would I have ordered such a huge list of requirements for a picket ship? Probably not. Advanced EWAR suite, spinal MAC, composite armour, autonomous targeting, the works. They wanted a Cruiser's capabilities in a Corvette's frame. Madness.

We were only halfway through development before we hit a roadblock. There just wasn't enough space for everything. We had just started fitting in the composite armour and we were struggling—a ship with that many requirements fitting in a damn Corvette? Not possible. The mass projections were underwater before we even mounted the Durendal.

So we compromised. Stripped her bare and fit only the essentials, followed by the only two requirements we and Command could agree on: the MAC and the ECM suite. The Durendal railgun gives her punch—enough to crack destroyer-grade hulls at range if you're patient and the targeting solution's clean. The EWAR package? Best in class. She can spoof missiles, blind fire control, make herself a ghost on every sensor from here to Athebyne.

Sure, a stiff breeze could rupture the hull. No armour to speak of, shields are paper, and if you take a direct hit from anything heavier than point defence, you're floating scrap. But the manoeuvrability? The speed? The protection from the EWAR kit? She's untouchable if you fly her right. Picket duty isn't about slugging it out—it's about screening, jamming, and getting the hell out before the hammer drops.

The crews call her a deathtrap. Command calls her a force multiplier. I call her exactly what she needed to be.

So to answer your question: Nah, I wouldn't change a thing.

After all, we won. //

- Senior engineer Joseph H. Brown on Project ""Icarus"".",,,,,
XLII_alruba,SHIP,"// Admiral,

You asked about the Alrubas. Short answer: they're gathering dust.

When we designed her—what, eight years ago now?—we were desperate for anything that could take a hit and keep shooting. The Brawler-class template gave us something to work from, and we ran with it. Up-armoured the hull, added another pair of weapon mounts, reinforced the superstructure. She was a brute, slower than a drunken freighter, but she could absorb punishment that would've vaporised a Thuban and still return fire.

Command loved it. Back then, we were fighting close-range slugging matches over Athebyne's orbitals. The Alruba fit the doctrine perfectly—close the distance, weather the storm, hammer them until something breaks. We built thirty-seven of them before the war ended.

Then you changed everything.

New doctrine came down: speed, standoff engagement, electronic warfare, missile saturation. Suddenly, a gunship that manoeuvres like a cargo hauler and has to close to knife-fighting range became a liability. The Thuban and Rastaban programmes took priority—fast, fragile, lethal at range. Everything the Alruba isn't.

Now they sit in the yards at Kori, tied to mooring stations, gathering ice. Crews don't want them. Captains don't request them. Last I checked, maybe five are on active patrol—border stations, convoy escort, the assignments nobody fights over. The rest? Mothballed.

Here's the thing: they're still perfectly good ships. Solid construction, reliable systems, heavy armour by current standards. In the right engagement—boarding actions, station assault, close support—an Alruba would perform beautifully. But we don't fight those battles anymore. We kill from twenty thousand klicks with Excalibur munitions and EWAR jamming.

Scrap value's decent. Alternatively, we could refit them—gut the interior, add missile batteries, upgrade the drive section. But that's expensive, and at that point, we're better off building new Rastabans.

Third option: sell them. Plenty of independent colonies would kill for a ship that tough. Let them be someone else's problem.

Your call, Admiral. But they can't sit in the yards forever. //

 - Commander Keiko Miura, Acquisitions & Sustainment",,,,,
XLII_rastaban,SHIP,"// The Rastaban-class light destroyer—Icarus's older, slightly more responsible sibling. Built by the same contractors who gave us the Thuban, the Rastaban was meant to answer a simple question: what if we took that corvette concept and made it lead the picket fleets instead of just being part of them?

So they scaled her up. Not much—just enough to mount an advanced targeting suite and cram in the Excalibur loitering munitions package. The philosophy stayed the same: speed over protection, precision over volume of fire. Command wanted a ship that could coordinate fast-response groups, identify targets at range, and send smart ordnance downrange before the enemy even knew they were painted.

She's lean. Fewer hardpoints than you'd expect on a destroyer, armour that'll make you nervous if you think about it too long. But that targeting system? Beautiful piece of kit. Locks acquisition faster than anything else in the fleet, feeds telemetry to the Excaliburs, and those munitions do the rest. Against unshielded targets—frigates, older destroyers, anything caught with its shields cycling—she's a surgeon. Clean kills, minimal ammunition expenditure.

The trade-off? If something closes range or your shields fail, you're in trouble. Rastaban captains learn to fight from the edge of engagement envelopes, using speed and standoff range to survive. It's not a brawler. Never was meant to be. //

- Captain Zhao, 15th Picket Squadron",,,,,
